MAP3K14,GPRIN3
LEMD1,LINC01841
ST3GAL6-AS1,KRT18P17
SULT1E1,AC010186.2
FYB1,RNU6-658P
COL4A6,GPR34
PLCE1,TESPA1
LINC02325,KRT18P11
PLPPR1,SKIDA1
GOLGA7B,KBTBD3
CCBE1,NUP210
EDNRB,IRF3
CALY,BATF2
LINC01612,CHST9
AL592295.1,TYMP
ADH6,GPR25
KBTBD3,RGS16
PALD1,APOC1
FKBP10,TMEM150B
ZNF667-AS1,RASSF1
TBX19,SH2D2A
AC114778.2,AL606489.1
LNCAROD,AL034374.1
AC046185.3,AC016240.1
ASTL,EPHA10
ADORA2B,SAMD9
MIR26B,AC073316.2
IL4I1,AC084759.3
HASPIN,TRBV18
AC063977.2,GZMH
FCRL3,ANKRD6
ANKRD55,AC109446.3
PAICSP4,BTN3A1
PTGS1,PIK3AP1
AC087477.2,DNM1P47
HOXA2,GIMAP2
S100A7A,PARP9
BRINP1,KBTBD12
LRP4-AS1,LINC00299
APOC1,SLAMF1
PIK3CD,AL121933.2
FCRL6,P2RX5
LY9,WDFY4
LILRP2,STAB1
DOK7,NMUR1
HSD3B7,AC009102.1
HAVCR2,LRP1B
SLCO4A1,TRPA1
FMN2,HOXB2
AC109446.4,ZNF888
TF,AHRR
VCAM1,NAIP
SPRR2C,CMKLR1
FAM157A,LGALS1
AC093829.1,CASP17P
SAMD9L,GALNT17
SCARF1,AC104849.1
OAS3,AQP4
AC022133.2,LILRB1
FMOD,DUOX2
DYSF,NR2E1
TRIM31,SLC2A10
APBA2,HSD3B7
LILRA6,AL132656.4
RGL4,TRAJ46
RN7SL323P,MDGA1
NCF4,P2RY8
CYP3A43,RNVU1-31
GPR141,RASSF8
RGPD1,AC124248.2
CTSW,AL360182.1
IRF1,SPRR2A
SMAD9,LAX1
ARHGAP15,TRAJ20
KCNN2,FASLG
HEY2,EMP3
ELMO1,PLLP
GPR82,BEND4
PIEZO2,PRKCQ
PREX1,ENO3
UCA1,BCL2L14
CD48,TNIP2
ANKRD44,INSL6
INSL6,AL118508.1
KCNMB4,EHBP1L1
CD101,UBE2QL1
LILRB4,FCRLB
TRBJ2-7,ANKRD44
AC002546.1,UBD
CNTN4,CDKN2A
FCER2,RBP2
EMP3,FCHO1
RIMS3,RGMA
CSK,LINC01612
LINC01841,TSPAN32
AC245884.2,DOCK11
AIM2,ZNF683
ZC3H12A,IGHG1
AC096970.1,AL451139.1
SPRR2D,MT1H
RUFY4,AC109446.4
ATP10A,GAL3ST4
TMEM150B,AC022133.2
AL512306.3,SARDH
FZD4-DT,DEXI
RIPPLY3,SKAP2
LINC02576,ADGRV1
TAP1,SP110
AL121933.2,MTHFD2
SCARA3,GHR
OR4D9,AC104530.1
AC007608.3,LEMD1
FMNL1,EBI3
ITK,AL354710.2
MPPED1,SCD5
SERPINB9P1,CD6
TRBV4-2,BTN2A2
AC061992.2,DPP10-AS1
PDGFB,AC018647.2
HGD,TBX19
MICB,SH3BP1
SLC15A3,TMIGD2
AL627171.2,CAMK4
SEMA6B,FNDC8
SMOC2,ALOX5
AC011447.3,CD163L1
PTPN22,MRPS6
SYNGR3,ST3GAL5
LINC01002,BEST3
SNX31,AL021707.6
AL031963.3,SLC40A1
RAB43,CACHD1
EGFR,AC243960.1
AC005224.2,AC008875.2
IFI30,AP5Z1
CD226,OGFR
ITGB2,MS4A7
APOL6,ADARB1
IRF1-AS1,GRAP2
GLS,FAM107A
GPM6B,TRAJ12
SIRPG-AS1,AC115284.2
DOK3,AL023653.2
SPI1,CD37
LINC00964,SBNO2
SALL1,AC096564.2
RNF44,RNU6-234P
RELB,AC007681.1
EMILIN2,ABCA8
DOCK11,CYP2S1
ZFYVE28,SH2B3
PLEKHM2,CCDC141
USF1,RNU6-100P
STAT4,MUC13
CCR6,HBB
PTPRD,MS4A6A
TRAJ38,IL10RA
DUSP2,LINC02576
RBM26-AS1,USP30-AS1
AC141424.1,PLEKHM2
TRBV19,VWDE
AC008964.1,MOB3C
GIMAP7,BAG3
ADM,IRF7
CLECL1,CFB
TPSD1,SNRPGP12
TMEM97,FYB1
CD27,MIR26B
ENO3,TNS4
IRF3,DBH-AS1
GDNF-AS1,AC116366.2
AC015911.11,NUDT10
PGGHG,TAS2R64P
AC008760.2,PYHIN1
SPRR2A,HTR7
STAT2,CD101
AC016240.1,PLXNA2
LILRB1,AC018645.3
ADARB1,AC007991.2
VIM,MCOLN2
PSD4,OR2I1P
RNF165,MMP25-AS1
TRGC2,ARID5A
LCP1,CHRM3
MPO,AC062029.1
IGSF6,TRPM3
MOB3C,CXCL13
TRDC,LGR6
ZNF276,C12orf71
STAT1,AC022239.1
APBB1IP,YWHAEP1
CDH15,RPL23AP55
SLAMF6,RUFY4
MT1X,AC092747.2
ATP1A3,AL096816.1
S100A9,LINC01471
AC131235.4,ELMO1
NARF-IT1,AL356020.1
AC091182.1,SLC2A1-AS1
USP30-AS1,AP001330.4
AC087588.1,ATP8B3
METTL27,TRGC2
BTN2A2,CLIC3
MXRA7,CFL1P6
RFX5,TIGIT
DENND4B,ISM2
SMG5,TPTEP2-CSNK1E
P2RY10,AC010329.1
ABCD1,FAM89A
KNSTRN,TLN1
GNAL,FZD4-DT
ZNF888,FLT3LG
CYTH4,RNF19A
LINC02495,ANKRD36B
MIR3142HG,AL109839.1
IER5,SEMA4D
NMI,AC079905.1
AC093627.7,FAT4
AC012101.2,FFAR4
SLC24A3,PDCD1
TRPA1,HMGCR
TRIM22,ARHGAP15
IQCJ-SCHIP1,C12orf56
HNRNPA1P52,FAM30A
SPIB,HOTAIRM1
CYP26A1,STAT1
VPS9D1,MIIP
AP002762.1,CLSTN3
CXCR6,CKLF-CMTM1
RNASET2,AC022296.2
SLA,AL031733.2
CLEC2D,AP002433.2
SH2B3,AP003550.1
ITGAD,MFSD2A
SLFN5,CD27
KRT18P17,USP30
AC062029.1,Z85996.1
ST6GAL2,SLIT2
AC022217.3,DOC2B
GLI3,TAP2
CD163L1,NOD1
GSDMA,AC012146.2
ACAA2,BAK1
BTNL3,FBXL19-AS1
AL034374.1,RNU6-1223P
PCDH9,LAMB2
PRKCB,AL357793.1
AC022929.2,FEZF1
PDLIM2,CEACAM16
EDN2,LINC02443
PYHIN1,S1PR2
CNST,HELZ2
LINC02611,AL031963.3
MTCO3P43,ZNF208
PLCD4,ZFYVE28
PARP12,SIGLEC14
NHS,ZC3H12A
OVOL1,MLKL
FLI1,CLECL1
TNFSF13B,LINC02495
CCDC9B,IL21R-AS1
AC133919.2,AL359265.1
AP005212.2,AC023825.2
CD33,RNU4-82P
AL118508.1,AC087588.1
BNC2,CD4
CTLA4,YAE1
AKR1C4,LDHAP5
TRAV3,IGSF6
TRAJ26,IGFLR1
CA12,GAPT
AC022929.1,KHDRBS2
KISS1R,HEY2
AL603783.1,AP005061.2
STK10,PALM
IKBKE,EMILIN2
AL355304.1,TRIM31
PER1,RAC2
MAP7D1,STAT4
AL499616.1,TOMM40L
AC104805.1,CCND2
ATP6V1G1P6,IL22RA2
HK3,RN7SL448P
DBIP1,DIRAS2
AC087521.2,ASTL
TCIRG1,ZNF335
XCR1,KISS1R
PDPN,TMEM255B
AC116366.2,PLCD4
SELPLG,U73169.1
GBP3,PAICSP4
AC097713.1,AC015911.8
FGD3,ARHGEF16
AC099667.1,EPB41L3
LINC00632,KRT8P10
HAPLN3,KIR3DL2
DNM1P47,ST6GAL2
WSCD2,RNU5F-1
ASPRV1,C11orf21
FMO6P,MSNP1
AC124248.2,SYNC
SP110,AC009949.1
FCER1A,SLC15A3
TRPM3,WNT10B
EHBP1L1,GULOP
LRFN1,TAS2R43
KCTD16,NR2F1-AS1
WARS1,ATP1A3
BTN3A2,POLG
DPP9,TF
DRAXIN,CYP4F22
RELT,PSTPIP2
KLRD1,PPP1R18
AC106791.3,CD79B
CLIC2,AC018832.1
CD274,ZDHHC4P1
ANKRD13D,SLC24A4
AC093520.1,SETP21
CU639417.1,TOB1
OR52P2P,MYH7
STAB1,GRK5
PRAM1,KCNC4
SNCA,GATA2
CXorf21,CIART
POLG,RNASE6
AC010247.2,KRT8P32
GPRIN3,ATP5MGP3
AP5Z1,AL117340.1
AC022201.1,AC024084.2
VN1R40P,CCDC68
BDNF-AS,A2ML1-AS1
LILRA5,MARCKSL1
